Episode,Time,Blocks placed,Final Score
1,1.3272087574005127,21,1150
2,1.1337687969207764,21,1334
3,1.151392936706543,21,1408
4,1.3129363059997559,21,1228
5,1.5302255153656006,21,930
6,1.3178462982177734,21,1086
7,1.3109779357910156,21,1308
8,1.5366859436035156,21,1240
9,1.0953595638275146,21,1362
10,1.3921740055084229,21,1462
11,1.3682818412780762,21,1304
12,1.123779058456421,21,1414
13,1.8795766830444336,21,1286
14,1.1180474758148193,21,1338
15,1.3228247165679932,21,1360
16,1.2040214538574219,21,1256
17,1.539670467376709,19,914
18,1.2410030364990234,21,1372
19,1.5160322189331055,20,1006
20,1.1848652362823486,21,1224
21,1.30454421043396,21,1146
22,1.1830918788909912,21,1344
23,1.6840507984161377,21,1262
24,1.2236218452453613,21,1108
25,1.116180419921875,21,1266
26,1.5019004344940186,21,1088
27,1.2087936401367188,21,1270
28,1.1738276481628418,21,1400
29,1.3780138492584229,21,1190
30,1.3039295673370361,21,1174
31,1.2398502826690674,21,1342
32,1.280038595199585,21,1454
33,1.5109472274780273,21,1170
34,1.3886630535125732,21,1426
35,1.2635867595672607,21,1510
36,1.3840396404266357,21,1120
37,1.1501646041870117,21,1278
38,1.3817970752716064,21,1368
39,1.5732409954071045,21,1320
40,1.3839528560638428,21,1324
41,1.3830013275146484,21,1222
42,1.3318755626678467,17,942
43,1.5043718814849854,21,1248
44,1.087796926498413,21,1382
45,1.2567038536071777,21,1186
46,1.358325719833374,21,1154
47,1.1381535530090332,21,1314
48,1.5276846885681152,21,1284
49,1.04032564163208,21,1374
50,1.4583392143249512,21,1252
51,1.292466163635254,21,1456
52,1.355240821838379,21,1142
53,1.586778163909912,21,1136
54,1.2836098670959473,21,1058
55,1.0603437423706055,21,1530
56,1.418663501739502,21,1288
57,1.7241759300231934,21,1006
58,1.2113642692565918,21,1392
59,1.6399552822113037,21,1182
60,1.5232880115509033,21,1012
61,1.2698166370391846,21,1308
62,1.3088948726654053,21,1032
63,1.199547290802002,21,1370
64,1.2893574237823486,21,1074
65,1.4094994068145752,21,1390
66,1.3151671886444092,17,1030
67,1.4538798332214355,21,1154
68,1.3139126300811768,21,1170
69,1.460542917251587,21,1006
70,1.3281877040863037,21,1216
71,1.1534934043884277,21,1356
72,1.4399900436401367,21,1094
73,1.3488640785217285,21,1304
74,1.299889326095581,21,1162
75,1.363358497619629,21,1126
76,1.2597758769989014,21,1430
77,1.4155313968658447,21,1214
78,1.3272757530212402,21,1222
79,1.2436020374298096,21,1220
80,1.2857072353363037,21,1248
81,1.3341095447540283,21,1062
82,1.4175331592559814,21,1224
83,1.5989294052124023,21,1008
84,1.4562711715698242,21,1170
85,1.233184814453125,21,1282
86,1.290452003479004,21,1226
87,1.245232343673706,21,1404
88,1.3073921203613281,21,1286
89,1.397111177444458,21,1332
90,1.233851432800293,21,1102
91,1.1720168590545654,21,1408
92,1.3900811672210693,18,952
93,1.3110346794128418,21,1022
94,1.250809669494629,21,1244
95,1.2711896896362305,21,1282
96,1.4362130165100098,20,1078
97,1.4345624446868896,21,1208
98,1.281590223312378,21,1324
99,1.2492170333862305,21,1362
100,1.4138727188110352,21,1042
101,1.3859827518463135,21,1292
102,1.3518590927124023,21,972
103,1.323333740234375,21,1116
104,1.602252721786499,21,1214
105,1.5690569877624512,21,1176
106,1.2749724388122559,21,1148
107,1.3583552837371826,21,1040
108,1.687509298324585,21,1298
109,1.2513196468353271,21,1302
110,1.623993158340454,21,1106
111,1.2117409706115723,21,1342
112,1.203864574432373,21,1194
113,1.6671502590179443,21,1062
114,1.3733384609222412,21,1174
115,1.2976813316345215,21,1266
116,1.268418550491333,21,1482
117,1.1142680644989014,21,1250
118,1.2781867980957031,21,1078
119,1.3803415298461914,21,1294
120,1.3884847164154053,21,1246
121,1.3178389072418213,21,1258
122,1.4483458995819092,21,1222
123,1.4349923133850098,21,1120
124,1.2066164016723633,21,1444
125,1.3481290340423584,21,1172
126,1.0749762058258057,21,1354
127,1.3772337436676025,21,1286
