Episode,Time,Blocks placed,Final Score,,Promedio
213,1.23184824,21,1292,,
214,1.176999331,21,1260,,
215,1.354435682,21,1310,,
216,1.353994846,21,1156,,
217,1.481007099,21,1402,,
218,1.309552431,21,1250,,
219,1.401013613,21,1120,,
220,1.163001537,21,1402,,
221,1.747525692,21,1294,,
222,1.127999306,21,1292,,
223,1.082999229,21,1322,,
224,1.428477287,21,1344,,
225,1.299995184,21,1254,,
226,1.058543444,21,1380,,
227,1.448994637,21,1106,,
228,1.272527456,21,1190,,
229,1.544999361,21,1108,,
230,1.320788145,21,1450,,
231,1.363669395,18,920,,
232,1.010832787,21,1314,,
233,1.215299845,21,1238,,
234,1.252506971,21,1410,,
235,1.302639246,21,1232,,
236,1.28598094,21,1176,,
237,1.526172161,21,1238,,
238,1.193509102,21,1324,,
239,1.494423628,21,1348,,
240,1.232958078,21,1330,,
241,1.426738739,19,940,,
242,1.353644133,21,1170,,
243,1.380159616,21,1254,,
244,1.197721481,21,1318,,
245,1.201099873,21,1240,,
246,1.590669155,21,1066,,
247,1.347059488,21,1472,,
248,1.194572687,21,1370,,
249,1.068492889,21,1474,,
250,1.468876362,21,1056,,
251,1.199881792,21,1274,,
252,0.920068264,21,1428,,
253,1.423794985,21,1260,,
254,1.167319059,21,1162,,
255,1.294233322,21,1198,,
256,1.176582336,21,1434,,
257,1.320766211,21,1288,,
258,1.345479488,21,1396,,
259,1.32749176,21,1238,,
260,1.198374271,21,1334,,
261,1.276881218,21,1090,,
262,1.357279062,21,1288,,
263,1.164840221,21,1286,,
264,1.25124073,21,1186,,
265,1.270272017,21,1202,,
266,1.148506403,21,1368,,
267,1.32268548,18,744,,
268,1.27755332,21,1262,,
269,1.310147047,21,1216,,
270,1.260765791,21,1220,,
271,1.252951622,21,1434,,
272,1.343568802,21,1322,,
273,1.420710087,21,1026,,
274,1.000161409,21,1388,,
275,1.163912296,21,1362,,
276,1.291511774,21,1208,,
277,1.221202612,21,1160,,
278,1.23641634,21,1256,,
279,1.483017683,21,1082,,
280,1.163991213,21,1264,,
281,1.432000399,21,914,,
282,1.218641043,21,1332,,
283,1.248399973,21,1390,,
284,1.107005358,21,1358,,
285,1.501999855,21,1176,,
286,1.395016909,21,1354,,
