Episode,Time,Blocks placed,Final Score
106,1.3733572959899902,21,946
107,1.538808822631836,21,1268
108,1.3658273220062256,21,1224
109,1.1015019416809082,21,1314
110,1.3659486770629883,21,1184
111,1.3007404804229736,21,1046
112,1.215137243270874,21,1426
113,1.3026714324951172,21,1304
114,1.5376830101013184,20,1024
115,1.4959869384765625,21,1166
116,1.1167466640472412,21,1376
117,1.0740506649017334,21,1272
118,1.1659786701202393,21,1310
119,1.4758644104003906,21,1044
120,1.09627366065979,21,1274
121,1.3625056743621826,21,1038
122,1.3073737621307373,21,1132
123,1.160508632659912,21,1392
124,1.3537554740905762,21,1428
125,1.330970287322998,21,1184
126,1.3656246662139893,21,1434
127,1.4012014865875244,21,1060
128,1.1438398361206055,21,1378
129,1.6595115661621094,21,944
130,1.3911290168762207,21,1326
131,1.493488073348999,21,1238
132,1.1966469287872314,21,1422
133,1.1159818172454834,21,1388
134,1.1843712329864502,21,1348
135,1.4299323558807373,21,996
136,1.1611320972442627,21,1340
137,1.424222469329834,21,1110
138,1.3337523937225342,21,1228
139,1.6106092929840088,21,1086
140,1.2761564254760742,21,1352
141,1.5153114795684814,21,1158
142,1.130974292755127,21,1370
143,1.2849230766296387,21,1168
144,1.4186975955963135,21,1148
145,1.2629921436309814,21,1484
146,1.4200735092163086,21,1234
147,1.1439247131347656,21,1340
148,1.1856896877288818,21,1488
149,1.1714401245117188,21,1366
150,1.2140014171600342,21,1442
151,1.2435011863708496,21,1248
152,1.2686097621917725,21,1324
153,1.2310004234313965,21,968
154,1.396104097366333,21,1038
155,0.9669961929321289,21,1408
156,1.1689114570617676,21,1282
157,1.1109471321105957,21,1546
158,1.145603895187378,21,1382
159,1.2384405136108398,21,1348
160,1.236142635345459,21,1358
161,1.2495594024658203,21,1204
162,1.29984712600708,21,1296
163,1.1329913139343262,21,1468
164,1.4613103866577148,21,1094
165,1.5668330192565918,21,1124
166,1.4417483806610107,21,1166
167,1.3303453922271729,21,1216
168,1.3646750450134277,21,1078
169,1.1288869380950928,21,1448
170,1.4473557472229004,21,1134
171,1.1881937980651855,21,1330
172,1.2438488006591797,21,1246
173,1.072014570236206,21,1494
174,1.2783727645874023,21,1426
175,1.1169421672821045,21,1368
176,1.5642499923706055,21,1256
177,1.1013689041137695,21,1268
178,1.367039680480957,21,1120
179,1.4673612117767334,20,884
180,1.4013454914093018,21,1294
181,1.4200003147125244,21,1310
182,1.1172950267791748,21,1366
183,1.4326002597808838,21,1382
184,1.1008610725402832,21,1424
185,1.1779074668884277,21,1354
186,1.2221055030822754,21,1406
187,1.1726176738739014,21,1228
188,1.0181057453155518,21,1300
189,1.519871711730957,21,1130
190,1.2898705005645752,21,1142
191,1.3670315742492676,21,1344
192,1.2105422019958496,21,1394
193,1.246110439300537,21,1114
194,1.512808084487915,21,1228
195,1.2060163021087646,21,1160
196,1.1320557594299316,21,1314
197,1.3496348857879639,21,1192
198,1.076218843460083,21,1404
199,1.4411537647247314,21,1188
200,1.2762229442596436,21,1228
201,1.159616470336914,21,1398
202,1.3925392627716064,21,1182
203,1.483616590499878,21,862
204,1.3188612461090088,21,1290
205,1.3470041751861572,20,888
206,1.11411452293396,21,1416
207,1.2490818500518799,21,1384
208,1.2722229957580566,21,1422
209,1.2868523597717285,21,1344
210,1.3980193138122559,21,1084
211,1.3857886791229248,19,862
212,1.4742560386657715,21,1218
213,1.2318482398986816,21,1292
214,1.1769993305206299,21,1260
215,1.354435682296753,21,1310
216,1.3539948463439941,21,1156
217,1.4810070991516113,21,1402
218,1.3095524311065674,21,1250
219,1.4010136127471924,21,1120
220,1.163001537322998,21,1402
221,1.747525691986084,21,1294
222,1.1279993057250977,21,1292
223,1.0829992294311523,21,1322
224,1.4284772872924805,21,1344
225,1.2999951839447021,21,1254
226,1.0585434436798096,21,1380
227,1.4489946365356445,21,1106
228,1.2725274562835693,21,1190
229,1.544999361038208,21,1108
230,1.3207881450653076,21,1450
231,1.3636693954467773,18,920
232,1.0108327865600586,21,1314
233,1.2152998447418213,21,1238
234,1.252506971359253,21,1410
235,1.3026392459869385,21,1232
236,1.2859809398651123,21,1176
237,1.526172161102295,21,1238
238,1.1935091018676758,21,1324
239,1.4944236278533936,21,1348
240,1.2329580783843994,21,1330
241,1.4267387390136719,19,940
242,1.3536441326141357,21,1170
243,1.380159616470337,21,1254
244,1.1977214813232422,21,1318
245,1.2010998725891113,21,1240
246,1.5906691551208496,21,1066
247,1.3470594882965088,21,1472
248,1.1945726871490479,21,1370
249,1.0684928894042969,21,1474
250,1.4688763618469238,21,1056
251,1.1998817920684814,21,1274
252,0.9200682640075684,21,1428
253,1.4237949848175049,21,1260
254,1.1673190593719482,21,1162
