Episode,Time,Blocks placed,Final Score,,Promedio
1,7.430951357,21,1620,,1611.239
2,0.836976051,21,1616,,
3,0.627997875,21,1620,,
4,0.647004843,21,1620,,
5,0.640439987,21,1620,,
6,0.657004833,21,1606,,
7,0.669842243,21,1582,,
8,0.63674283,21,1620,,
9,0.653347254,21,1610,,
10,0.634176016,21,1620,,
11,0.656925678,21,1612,,
12,0.638880014,21,1620,,
13,0.689018965,21,1606,,
14,0.675830364,21,1600,,
15,0.677558899,21,1586,,
16,0.639518023,21,1620,,
17,0.652388096,21,1596,,
18,0.653709412,21,1620,,
19,0.643908739,21,1620,,
20,0.654138327,21,1592,,
21,0.637981415,21,1620,,
22,0.652996302,21,1584,,
23,0.642206907,21,1620,,
24,0.651186228,21,1620,,
25,0.655228138,21,1612,,
26,0.659782887,21,1594,,
27,0.638741255,21,1620,,
28,0.644594908,21,1620,,
29,0.655801058,21,1620,,
30,0.650991917,21,1620,,
31,0.673993111,21,1620,,
32,0.63602972,21,1620,,
33,0.675231695,21,1600,,
34,0.639199495,21,1620,,
35,0.653129578,21,1594,,
36,0.664790392,21,1612,,
37,0.668883801,21,1616,,
38,0.660018444,21,1590,,
39,0.653294086,21,1610,,
40,0.656081915,21,1620,,
41,0.640901327,21,1620,,
42,0.63612175,21,1620,,
43,0.63780117,21,1620,,
44,0.638913155,21,1620,,
45,0.684741259,21,1614,,
46,0.667974949,21,1600,,
47,1.710030556,21,1534,,
48,0.655121326,21,1620,,
49,0.659876585,21,1604,,
50,0.658934355,21,1594,,
51,0.651433706,21,1620,,
52,0.648373127,21,1620,,
53,0.668123007,21,1620,,
54,0.644422293,21,1620,,
55,0.641551495,21,1620,,
56,0.647637367,21,1620,,
57,0.669298887,21,1560,,
58,0.641426086,21,1620,,
59,0.650430202,21,1620,,
60,0.648532152,21,1620,,
61,0.648303747,21,1594,,
62,0.657825947,21,1620,,
63,0.639247417,21,1620,,
64,0.645605087,21,1620,,
65,0.630835295,21,1620,,
66,0.663063049,21,1582,,
67,0.662552834,21,1596,,
68,0.671031952,21,1574,,
69,0.657748699,21,1620,,
70,0.661088228,21,1614,,
71,0.670952559,21,1568,,
72,0.652820349,21,1618,,
73,0.655230999,21,1606,,
74,0.677634478,21,1586,,
75,0.654799461,21,1616,,
76,0.651131153,21,1616,,
77,0.67248702,21,1596,,
78,0.658814907,21,1620,,
79,0.645941973,21,1620,,
80,0.678211689,21,1582,,
81,0.669845343,21,1620,,
82,0.678144455,21,1612,,
83,0.674913645,21,1582,,
84,0.671813488,21,1620,,
85,0.673330545,21,1620,,
86,0.634058237,21,1620,,
87,0.648347378,21,1620,,
88,0.663864136,21,1582,,
89,0.651296854,21,1620,,
90,0.678060532,21,1620,,
91,0.637415171,21,1620,,
92,0.645128727,21,1620,,
93,0.689337254,21,1586,,
94,0.674463749,21,1620,,
95,0.656792402,21,1620,,
96,0.656831503,21,1598,,
97,0.646565437,21,1620,,
98,0.635277748,21,1620,,
99,0.674951553,21,1582,,
100,0.637694359,21,1620,,
101,0.654135704,21,1620,,
102,0.671164751,21,1620,,
103,0.636823654,21,1620,,
104,0.638524055,21,1620,,
105,0.688969851,21,1620,,
106,0.672216892,21,1610,,
107,0.640185833,21,1620,,
108,0.645652294,21,1620,,
109,0.675543308,21,1606,,
110,0.644880056,21,1620,,
111,0.652192831,21,1588,,
112,0.659519672,21,1620,,
113,0.660674095,21,1612,,
114,0.677904606,21,1614,,
115,0.657933235,21,1620,,
116,0.635679722,21,1620,,
117,0.65408659,21,1620,,
118,0.689268589,21,1552,,
119,0.671179771,21,1618,,
120,0.650972366,21,1612,,
121,0.654680014,21,1594,,
122,0.638091087,21,1620,,
123,0.655870199,21,1620,,
124,0.638075113,21,1620,,
125,0.636902571,21,1620,,
126,0.6521492,21,1620,,
127,0.651747227,21,1586,,
128,0.654927731,21,1620,,
129,0.671169758,21,1578,,
130,0.646458149,21,1582,,
131,0.65660429,21,1612,,
132,0.645723104,21,1620,,
133,0.652994871,21,1620,,
134,0.634735584,21,1620,,
135,0.636656284,21,1620,,
136,0.65348506,21,1600,,
137,0.667734623,21,1574,,
138,0.654566765,21,1582,,
139,0.655082941,21,1620,,
140,0.643330097,21,1620,,
141,0.64140749,21,1620,,
142,0.66730547,21,1614,,
143,0.658285856,21,1612,,
144,0.68565464,21,1616,,
145,0.698573828,21,1588,,
146,0.657845497,21,1592,,
147,0.671105623,21,1610,,
148,0.646221638,21,1620,,
149,0.694241762,21,1606,,
150,0.639962196,21,1620,,
151,0.655770302,21,1612,,
152,0.658491611,21,1594,,
153,0.65994668,21,1620,,
154,0.654541731,21,1620,,
155,0.655856371,21,1608,,
156,0.6595366,21,1620,,
157,0.649996758,21,1620,,
158,0.651392937,21,1614,,
159,0.681272268,21,1598,,
160,0.682728767,21,1600,,
161,0.641313314,21,1620,,
162,0.634967804,21,1620,,
163,0.684495211,21,1620,,
164,0.641182661,21,1620,,
165,0.658061981,21,1592,,
166,0.659462929,21,1620,,
167,0.671468258,21,1604,,
168,0.635099649,21,1620,,
169,0.639494896,21,1620,,
170,0.636752367,21,1620,,
171,0.645817995,21,1620,,
172,0.660121202,21,1620,,
173,0.63536334,21,1620,,
174,0.642758131,21,1620,,
175,0.64975667,21,1584,,
176,0.667550325,21,1588,,
177,0.636180878,21,1620,,
178,0.655175686,21,1616,,
179,0.636212826,21,1620,,
180,0.671752453,21,1620,,
181,0.663359642,21,1584,,
182,0.638569117,21,1620,,
183,0.668843508,21,1610,,
184,0.651450396,21,1616,,
185,0.633972406,21,1620,,
186,0.670883894,21,1586,,
187,0.637091637,21,1620,,
188,0.637838364,21,1620,,
189,0.675767899,21,1618,,
190,0.639703512,21,1620,,
191,0.673194647,21,1620,,
192,0.645881653,21,1620,,
193,0.682779312,21,1620,,
194,0.682755947,21,1612,,
195,0.641811609,21,1620,,
196,0.635691643,21,1620,,
197,0.637213469,21,1620,,
198,0.635486841,21,1620,,
199,0.6553514,21,1620,,
200,0.671013594,21,1620,,
201,0.69658637,21,1568,,
202,0.719010115,21,1620,,
203,0.640292883,21,1620,,
204,0.658939362,21,1596,,
205,0.632024288,21,1620,,
206,0.666728973,21,1594,,
207,0.673997402,21,1620,,
208,0.674999714,21,1610,,
209,0.659911156,21,1584,,
210,0.659810066,21,1620,,
211,0.638562679,21,1620,,
212,0.650050163,21,1614,,
213,0.678099871,21,1608,,
214,0.666002274,21,1620,,
215,0.639992714,21,1620,,
216,0.640989304,21,1620,,
217,0.68446517,21,1582,,
218,0.639998198,21,1620,,
219,0.66499567,21,1584,,
220,0.652346134,21,1614,,
221,0.634876013,21,1620,,
222,0.634651423,21,1620,,
223,0.660948515,21,1620,,
224,0.655519724,21,1620,,
225,0.649752855,21,1620,,
226,0.642645597,21,1620,,
227,0.636967421,21,1620,,
228,0.653432131,21,1620,,
229,0.657001019,21,1620,,
230,0.657042503,21,1600,,
231,0.675122738,21,1552,,
232,0.63708806,21,1620,,
233,0.647569895,21,1586,,
234,0.638726473,21,1620,,
235,0.637824774,21,1620,,
236,0.664630651,21,1604,,
237,0.636703968,21,1620,,
238,0.645809889,21,1620,,
239,0.641828299,21,1620,,
240,0.659703255,21,1614,,
241,0.663512468,21,1598,,
242,0.655984402,21,1584,,
243,0.664633274,21,1620,,
244,0.65009284,21,1620,,
245,0.656929493,21,1620,,
246,0.653847933,21,1620,,
247,0.648332596,21,1620,,
248,0.642340422,21,1620,,
249,0.633254766,21,1620,,
250,0.688165188,21,1564,,
251,0.678060055,21,1584,,
252,0.63393116,21,1620,,
253,0.682130098,21,1586,,
254,0.676446915,21,1592,,
255,0.653163671,21,1584,,
256,0.675271511,21,1598,,
257,0.639294863,21,1620,,
258,0.656309605,21,1604,,
259,0.692001104,21,1598,,
260,0.640443563,21,1620,,
261,0.651558161,21,1620,,
262,0.652506828,21,1620,,
263,0.63907814,21,1620,,
264,0.632604122,21,1620,,
265,0.643826246,21,1620,,
266,0.656064034,21,1602,,
267,0.655563831,21,1592,,
268,0.642291546,21,1620,,
269,0.670234203,21,1616,,
270,0.669025183,21,1620,,
271,0.674892426,21,1620,,
272,0.650001049,21,1620,,
273,0.636953592,21,1620,,
274,0.651172638,21,1616,,
275,0.671999931,21,1582,,
276,0.653177261,21,1620,,
277,0.637945414,21,1620,,
278,0.659302235,21,1620,,
279,0.657027483,21,1620,,
280,0.64294982,21,1620,,
281,0.64687252,21,1620,,
282,0.640010595,21,1620,,
283,0.658047676,21,1592,,
284,0.653203011,21,1620,,
285,0.652246714,21,1620,,
286,0.66049552,21,1620,,
287,0.704002619,21,1606,,
288,0.658154488,21,1620,,
289,0.711000443,21,1620,,
290,0.67600131,21,1600,,
291,0.670381546,21,1620,,
292,0.638080597,21,1620,,
293,0.702000856,21,1620,,
294,0.638103247,21,1620,,
295,0.638688326,21,1620,,
296,0.654856682,21,1620,,
297,0.647638321,21,1620,,
298,0.640566349,21,1620,,
299,0.667913198,21,1620,,
300,0.658186913,21,1620,,
301,0.629127026,21,1620,,
302,0.669416189,21,1596,,
303,0.706706524,21,1574,,
304,0.671495676,21,1620,,
305,0.633996248,21,1620,,
306,0.633012295,21,1620,,
307,0.650991917,21,1614,,
308,0.646005154,21,1620,,
309,0.630989075,21,1620,,
310,0.657005072,21,1602,,
311,0.655007839,21,1620,,
312,0.658991337,21,1620,,
313,0.672994375,21,1620,,
314,0.650007248,21,1620,,
315,0.686001062,21,1620,,
316,0.63539505,21,1620,,
317,0.650513649,21,1620,,
318,0.67227006,21,1620,,
319,0.626996756,21,1620,,
320,0.685994625,21,1586,,
321,0.653004408,21,1620,,
322,0.627998114,21,1620,,
323,0.644996405,21,1620,,
324,0.648001671,21,1620,,
325,0.640199423,21,1620,,
326,0.656999111,21,1614,,
327,0.636068106,21,1620,,
328,0.65302515,21,1620,,
329,0.673520088,21,1568,,
330,0.690706253,21,1582,,
331,0.700965881,21,1568,,
332,0.639966965,21,1620,,
333,0.63698554,21,1620,,
334,0.65836215,21,1584,,
335,0.636847496,21,1620,,
336,0.645851374,21,1620,,
337,0.658707857,21,1616,,
338,0.656177759,21,1620,,
339,0.675347328,21,1600,,
340,0.707582474,21,1584,,
341,0.642329693,21,1620,,
342,0.653152704,21,1598,,
343,0.654116392,21,1620,,
344,0.650588512,21,1582,,
345,0.639731884,21,1620,,
346,0.666802168,21,1560,,
347,0.669963837,21,1614,,
348,0.638408422,21,1620,,
349,0.637392521,21,1620,,
350,0.639518976,21,1620,,
351,0.701592445,21,1620,,
352,0.634148121,21,1620,,
353,0.63832283,21,1620,,
354,0.638818979,21,1620,,
355,0.638925076,21,1620,,
356,0.634612322,21,1620,,
357,0.642423391,21,1620,,
358,0.672274113,21,1616,,
359,0.63997221,21,1620,,
360,0.650868654,21,1620,,
361,0.641566992,21,1620,,
362,0.651868343,21,1620,,
363,0.671998024,21,1596,,
364,0.650306463,21,1620,,
365,0.649454594,21,1620,,
366,0.673881292,21,1602,,
367,0.65461874,21,1614,,
368,0.636939764,21,1620,,
369,0.652388096,21,1620,,
370,0.63944006,21,1620,,
371,0.640506268,21,1620,,
372,0.638418913,21,1620,,
373,0.676232815,21,1618,,
374,0.638432503,21,1620,,
375,0.646780252,21,1620,,
376,0.634551525,21,1620,,
377,0.654633999,21,1620,,
378,0.65865612,21,1616,,
379,0.631980658,21,1620,,
380,0.650756836,21,1594,,
381,0.656705141,21,1620,,
382,0.655425072,21,1586,,
383,0.652501822,21,1620,,
384,0.688768625,21,1586,,
385,0.639757156,21,1620,,
386,0.640550613,21,1620,,
387,0.671675682,21,1586,,
388,0.647952318,21,1620,,
389,0.637353182,21,1620,,
390,0.63905406,21,1620,,
391,0.656838179,21,1620,,
392,0.643376827,21,1620,,
393,0.644025564,21,1620,,
394,0.641010284,21,1620,,
395,0.663002729,21,1620,,
396,0.6696527,21,1594,,
397,0.654551506,21,1600,,
398,0.641780615,21,1620,,
399,0.654999495,21,1620,,
400,0.652004242,21,1620,,
401,0.650002003,21,1620,,
402,0.631008148,21,1620,,
403,0.652994871,21,1606,,
404,0.649009466,21,1620,,
405,0.65299964,21,1620,,
406,0.632005692,21,1620,,
407,0.662014484,21,1592,,
408,0.663002729,21,1620,,
409,0.668996096,21,1610,,
410,0.6642344,21,1620,,
411,0.659991503,21,1620,,
412,0.66351223,21,1584,,
413,0.644005299,21,1620,,
414,0.678995609,21,1536,,
415,0.672007084,21,1614,,
416,0.681000948,21,1620,,
417,0.678345919,21,1620,,
418,0.661356211,21,1610,,
419,0.653006554,21,1620,,
420,0.652998447,21,1620,,
421,0.68754077,21,1590,,
422,0.674999714,21,1600,,
423,0.671000242,21,1620,,
424,0.667020559,21,1620,,
425,0.68401289,21,1582,,
426,0.67552042,21,1586,,
427,0.647995472,21,1620,,
428,0.654002666,21,1620,,
429,0.633538008,21,1620,,
430,0.658590078,21,1620,,
431,0.689938545,21,1556,,
432,0.684000254,21,1618,,
433,0.657002687,21,1620,,
434,0.642008543,21,1620,,
435,0.70001626,21,1588,,
436,0.687011957,21,1620,,
437,0.671005011,21,1590,,
438,0.631993532,21,1620,,
439,0.645522118,21,1620,,
440,0.630003214,21,1620,,
441,0.647026539,21,1620,,
442,0.663952351,21,1594,,
