Episode,Time,Blocks placed,Final Score
1,1.154834270477295,21,1436
2,0.9315848350524902,21,1540
3,0.826085090637207,21,1558
4,0.7804040908813477,21,1542
5,0.95131516456604,21,1378
6,0.9407014846801758,21,1510
7,0.7780659198760986,21,1496
8,0.924095630645752,21,1488
9,0.8269622325897217,21,1518
10,0.91904616355896,21,1572
11,0.8750278949737549,21,1432
12,2.786341428756714,21,1440
13,0.7603325843811035,21,1550
14,0.8402025699615479,21,1542
15,0.7606115341186523,21,1572
16,0.804271936416626,21,1522
17,0.8712759017944336,21,1564
18,0.8392293453216553,21,1552
19,0.8694412708282471,21,1490
20,0.9251306056976318,21,1478
21,0.8208792209625244,21,1522
22,0.9660642147064209,21,1502
23,0.8380100727081299,21,1522
24,0.8896591663360596,21,1558
25,2.091367721557617,21,1492
26,1.169543743133545,21,1290
27,0.8865349292755127,21,1462
28,0.8754997253417969,21,1492
29,0.8823816776275635,21,1474
30,0.7897210121154785,21,1554
31,0.8555018901824951,21,1464
32,0.7920002937316895,21,1614
33,0.8580772876739502,21,1406
34,0.9410107135772705,21,1420
35,0.8378255367279053,21,1564
36,0.8210794925689697,21,1524
37,0.7723431587219238,21,1396
38,0.9007723331451416,21,1460
39,0.8327043056488037,21,1514
40,0.786468505859375,21,1518
41,0.8383045196533203,21,1412
42,0.9448807239532471,21,1424
43,0.8394808769226074,21,1412
44,0.7678852081298828,21,1516
45,0.816868782043457,21,1540
46,0.9704587459564209,21,1408
47,1.00868558883667,21,1270
48,0.9407463073730469,21,1362
49,1.056058406829834,21,1384
50,0.9636991024017334,21,1506
51,0.9354207515716553,21,1272
52,0.7532556056976318,21,1570
53,0.8555195331573486,21,1528
54,0.7681727409362793,21,1518
55,0.9125151634216309,21,1442
56,0.7730710506439209,21,1438
57,0.8117396831512451,21,1554
58,0.9347612857818604,21,1364
59,0.8059883117675781,21,1484
60,0.9194583892822266,21,1488
61,0.7655425071716309,21,1582
62,0.9250411987304688,21,1382
63,0.7891902923583984,21,1548
64,0.8209941387176514,21,1536
65,0.7653412818908691,21,1536
66,0.9025099277496338,21,1476
67,0.9173629283905029,21,1450
68,0.9100780487060547,21,1502
69,0.8257079124450684,21,1576
70,0.8329095840454102,21,1492
71,0.8089730739593506,21,1552
72,0.8231606483459473,21,1594
73,0.8292768001556396,21,1442
74,0.9183413982391357,21,1436
75,0.8264071941375732,21,1512
76,0.7949597835540771,21,1594
77,0.8555412292480469,21,1494
78,0.740685224533081,21,1552
79,0.8469469547271729,21,1478
80,0.8434493541717529,21,1574
81,0.8355472087860107,21,1430
82,0.925001859664917,21,1504
83,1.0261290073394775,21,1398
84,0.7580716609954834,21,1506
85,0.8420801162719727,21,1470
86,0.877119779586792,21,1388
87,0.9937422275543213,21,1448
88,0.7359929084777832,21,1554
89,0.8525547981262207,21,1530
90,0.8740100860595703,21,1516
91,0.7904093265533447,21,1564
92,0.8108484745025635,21,1504
93,0.9532613754272461,21,1398
94,0.9342927932739258,21,1410
95,0.9069950580596924,21,1488
96,0.7657294273376465,21,1538
97,0.8290243148803711,21,1608
98,0.8704512119293213,21,1530
99,0.8192183971405029,21,1488
100,0.8467388153076172,21,1560
101,0.7443850040435791,21,1544
102,0.7920036315917969,21,1576
103,0.8442935943603516,21,1604
104,0.8242645263671875,21,1586
105,0.8129839897155762,21,1504
106,0.8523786067962646,21,1574
107,0.8410651683807373,21,1484
108,0.8239345550537109,21,1508
109,0.8042750358581543,21,1564
110,0.8642001152038574,21,1462
111,0.8723819255828857,21,1478
112,0.7890527248382568,21,1526
113,0.7781267166137695,21,1560
114,0.7464587688446045,21,1550
115,0.9457790851593018,21,1528
116,1.0107100009918213,21,1418
117,0.7632811069488525,21,1538
118,0.8534133434295654,21,1550
119,0.9989478588104248,21,1318
120,0.8279585838317871,21,1538
121,0.8434834480285645,21,1490
122,0.8214714527130127,21,1492
123,0.8397083282470703,21,1514
124,0.7601358890533447,21,1534
125,0.7404026985168457,21,1564
